ORIGINAL SENTENCE,Sentence,Command,CATEGORY
"If you need Abhishek's phone number, I have it on hand, it's 676767676. Alter number to 89898989","If you need Abhishek's phone number, I have it on hand, it's 676767676. ",Alter number to 89898989,COMMAND
"If you're looking to order a cake from the sweet shop, you can reach them at 455554444. Update phone number to 989898989","If you're looking to order a cake from the sweet shop, you can reach them at 455554444. ",Update phone number to 989898989,COMMAND
My new contact number is 9903488345. Correct the number to 45454545,My new contact number is 9903488345. ,Correct the number to 45454545,COMMAND
"I've updated my number, you can reach me on 89898989. Edit number to 989898989","I've updated my number, you can reach me on 89898989. ",Edit number to 989898989,COMMAND
If you want to book a table at a restaurant please call 987654321. Revise number to 987654321,If you want to book a table at a restaurant please call 987654321. ,Revise number to 987654321,COMMAND
You can reach florist on 45454545. Change number to 987654321,You can reach florist on 45454545. ,Change number to 987654321,COMMAND
"If you are looking for the nearest Barber Shop, the number is 989898989. Replace 989898989 with 45454545","If you are looking for the nearest Barber Shop, the number is 989898989. ",Replace 989898989 with 45454545,COMMAND
You can reach the Gift Shop on 8787887878. Alter number to 9903488345,You can reach the Gift Shop on 8787887878. ,Alter number to 9903488345,COMMAND
The nearest Ice cream parlor can be reached on 9903488345. Change phone number 989898989,The nearest Ice cream parlor can be reached on 9903488345. ,Change phone number 989898989,COMMAND
The CS Department has 3 laboratoriesUpdate number to 14,The CS Department has 3 laboratories,Update number to 14,COMMAND
Every hour has 70 minutes.Modify duration to 60,Every hour has 70 minutes.,Modify duration to 60,COMMAND
I need to travel 5kms to reach college.Edit distance to 4.,I need to travel 5kms to reach college.,Edit distance to 4.,COMMAND
The college has approximately 100 teachers.Rewrite 100 to 175.,The college has approximately 100 teachers.,Rewrite 100 to 175.,COMMAND
The cake cost 500 rupees.Update money to 550.,The cake cost 500 rupees.,Update money to 550.,COMMAND
There are 50 students in a class.Change the number of students to 60.,There are 50 students in a class.,Change the number of students to 60.,COMMAND
The building is 100 feet tall.Modify height to 150.,The building is 100 feet tall.,Modify height to 150.,COMMAND
 The interest rate for the loan is 10%.Change percentage to 15%, The interest rate for the loan is 10%.,Change percentage to 15%,COMMAND
 I bought 3 pens.Rewrite 3 to 5., I bought 3 pens.,Rewrite 3 to 5.,COMMAND
"The dance show commences at 3:30 pm and doors open at 2:30 pm on Saturday, April 19th.Update date to April 20th","The dance show commences at 3:30 pm and doors open at 2:30 pm on Saturday, April 19th.",Update date to April 20th,COMMAND
"Meeting is scheduled on Monday,December 25th.Change date to January 16th.","Meeting is scheduled on Monday,December 25th.",Change date to January 16th.,COMMAND
"The grocery store is closed on holidays, including Thanksgiving and Easter.Rewrite Easter toNew year’s Eve.","The grocery store is closed on holidays, including Thanksgiving and Easter.",Rewrite Easter toNew year’s Eve.,COMMAND
My DOB is 5th January 2005Update year to 2002.,My DOB is 5th January 2005,Update year to 2002.,COMMAND
"The bus to Bengaluru leaves at 8:00 pm on wednesday, June 1st.Update date to June2nd.","The bus to Bengaluru leaves at 8:00 pm on wednesday, June 1st.",Update date to June2nd.,COMMAND
"The deadline for evaluating the progress report is Saturday, April 13th at 6pm.Modify date to April 15th.","The deadline for evaluating the progress report is Saturday, April 13th at 6pm.",Modify date to April 15th.,COMMAND
"I have a holiday on Tuesday, April 10th.Change date to Wednesday, April 11th.","I have a holiday on Tuesday, April 10th.","Change date to Wednesday, April 11th.",COMMAND
"The movie is scheduled to release on Monday,March 25th.Change Monday March 5th toFriday,March 9th.","The movie is scheduled to release on Monday,March 25th.","Change Monday March 5th toFriday,March 9th.",COMMAND
"The college opens at 8:00 am and closes at 5:00 pm on everyday,except for Sundays when it closes at 1:00 pm.Revise day to Saturday.","The college opens at 8:00 am and closes at 5:00 pm on everyday,except for Sundays when it closes at 1:00 pm.",Revise day to Saturday.,COMMAND
The movie starts at 1:00 pm and ends at 3:00 pm on Thursday.Change Thursday to Friday.,The movie starts at 1:00 pm and ends at 3:00 pm on Thursday.,Change Thursday to Friday.,COMMAND
My breakfast time is 8:00 AM.Modify time to 8:30 AM.,My breakfast time is 8:00 AM.,Modify time to 8:30 AM.,COMMAND
The party starts at 11:00 PM .Edit time to 10:30 PM.,The party starts at 11:00 PM .,Edit time to 10:30 PM.,COMMAND
The pharmacy opens at 8:00 AM every morning.Update time to 9:00 AM,The pharmacy opens at 8:00 AM every morning.,Update time to 9:00 AM,COMMAND
I usually go for a walk at 6:00 AM on weekdays.Edit 6:00 AM to 7:00 AM,I usually go for a walk at 6:00 AM on weekdays.,Edit 6:00 AM to 7:00 AM,COMMAND
I have a Doctor appointment at 3:00 PM.Change 3:00 PM to 4:00 PM,I have a Doctor appointment at 3:00 PM.,Change 3:00 PM to 4:00 PM,COMMAND
The bus departs at 8:00 PM tomorrow night.Modify 8:00 PM to 9:00 PM,The bus departs at 8:00 PM tomorrow night.,Modify 8:00 PM to 9:00 PM,COMMAND
I usually sleep at 9:30 PM.Modify time to 10:30PM,I usually sleep at 9:30 PM.,Modify time to 10:30PM,COMMAND
Lunch will be ready by 2:00 PM.Amend time to 1:00 PM,Lunch will be ready by 2:00 PM.,Amend time to 1:00 PM,COMMAND
. The football starts at 8:00 PM and is 90 minutes long.Edit time to 7:30 PM,. The football starts at 8:00 PM and is 90 minutes long.,Edit time to 7:30 PM,COMMAND
The Temple is open from 6:00 AM to 6:00 PM.Update 6:00 PM to 8:00 PM,The Temple is open from 6:00 AM to 6:00 PM.,Update 6:00 PM to 8:00 PM,COMMAND
The dress store is offering a 25% discount on all sales.Revise percentage to 35.,The dress store is offering a 25% discount on all sales.,Revise percentage to 35.,COMMAND
The price of the plot has increased by 15% since it was last on the Market.Rewrite percentage to 10.,The price of the plot has increased by 15% since it was last on the Market.,Rewrite percentage to 10.,COMMAND
The match winning percentage is 50%.Rewrite 50 to 90.,The match winning percentage is 50%.,Rewrite 50 to 90.,COMMAND
I scored a grade of 80% in the SSLC examination.Update percentage to 90,I scored a grade of 80% in the SSLC examination.,Update percentage to 90,COMMAND
The population density has declined by 0.5% in the last decade.Modify percentage to 0.75.,The population density has declined by 0.5% in the last decade.,Modify percentage to 0.75.,COMMAND
The test product has a failure rate of 15%.Edit percentage to 5.,The test product has a failure rate of 15%.,Edit percentage to 5.,COMMAND
The company's sales increased by 10% last year.Change 10 to 20.,The company's sales increased by 10% last year.,Change 10 to 20.,COMMAND
The number of attendees of the function the event increased by 5% from the Last year.Update percentage to 15.,The number of attendees of the function the event increased by 5% from the Last year.,Update percentage to 15.,COMMAND
The percentage of women completing high school is 95 percent .Change 95 to 90.,The percentage of women completing high school is 95 percent .,Change 95 to 90.,COMMAND
The percentage of Success rate of test results increased by 5%.Change 5 to 6.,The percentage of Success rate of test results increased by 5%.,Change 5 to 6.,COMMAND
My personal contact number is 789-034 3565.Update 789-034-356-5 to789-034-355-7.,My personal contact number is 789-034 3565.,Update 789-034-356-5 to789-034-355-7.,COMMAND
"I lost my phone, can you call me at 789-034-356-5.?Revise 789-034-356-5.to 789-034-4444.","I lost my phone, can you call me at 789-034-356-5.?",Revise 789-034-356-5.to 789-034-4444.,COMMAND
Customer service number is 999-999-9999.Modify contact to 555-555-9999.,Customer service number is 999-999-9999.,Modify contact to 555-555-9999.,COMMAND
You can reach me at 689-034 356-5.Update number to 555-034 356-5,You can reach me at 689-034 356-5.,Update number to 555-034 356-5,COMMAND
The emergency contact phone number is 555-655-7999.Update phone number to 555-655-8888.,The emergency contact phone number is 555-655-7999.,Update phone number to 555-655-8888.,COMMAND
Call at emergency assistance 811 to get help.Change number to 911.,Call at emergency assistance 811 to get help.,Change number to 911.,COMMAND
Contact me at 789-034 3565.Modify phone number to 789-034 3564.,Contact me at 789-034 3565.,Modify phone number to 789-034 3564.,COMMAND
Ravi’s phone number is 655-655-8888.Update 655-655-8888 to 555-655-8888,Ravi’s phone number is 655-655-8888.,Update 655-655-8888 to 555-655-8888,COMMAND
Contact me at phone number 555-555-6666 for any assistance.Update number to 555-666-7788.,Contact me at phone number 555-555-6666 for any assistance.,Update number to 555-666-7788.,COMMAND
Reach out at789-034-4444.Modify phone number to789-034-5555.,Reach out at789-034-4444.,Modify phone number to789-034-5555.,COMMAND
Cathy loves the weekends in the country.Change name to Rose.,Cathy loves the weekends in the country.,Change name to Rose.,COMMAND
Ram is a student.Update name to Ravi.,Ram is a student.,Update name to Ravi.,COMMAND
Maria is a professor at the University.Edit Melissa to Bhuvana.,Maria is a professor at the University.,Edit Melissa to Bhuvana.,COMMAND
"Microsoft is an American multinational technology company headquartered in California, United States.Update title to Apple Inc.","Microsoft is an American multinational technology company headquartered in California, United States.",Update title to Apple Inc.,COMMAND
Google App Engine is a multilingual free online encyclopedia.Modify name to Wikipedia.,Google App Engine is a multilingual free online encyclopedia.,Modify name to Wikipedia.,COMMAND
The WHO is an international organization committed to maintaining international peace and security.Update WHO to UNO.,The WHO is an international organization committed to maintaining international peace and security.,Update WHO to UNO.,COMMAND
REST is an important protocol that helped introduce the widespread use of Web Services.Revise REST to SOAP.,REST is an important protocol that helped introduce the widespread use of Web Services.,Revise REST to SOAP.,COMMAND
Stefan is a Scientist at Caltech University.Update name to Sharon.,Stefan is a Scientist at Caltech University.,Update name to Sharon.,COMMAND
OOPS is a computerized data-keeping System.Modify OOPS to DBMS.,OOPS is a computerized data-keeping System.,Modify OOPS to DBMS.,COMMAND
COA is the program that manages all of the other application programs in a computer.Edit name to OS.,COA is the program that manages all of the other application programs in a computer.,Edit name to OS.,COMMAND
My favorite color is Pink.Update color to Blue.,My favorite color is Pink.,Update color to Blue.,COMMAND
He wore a Blue shirt today.Edit black to Pink.,He wore a Blue shirt today.,Edit black to Pink.,COMMAND
The sky was blue today.Revise blue to grey.,The sky was blue today.,Revise blue to grey.,COMMAND
The room was painted yellow.Correct color to green,The room was painted yellow.,Correct color to green,COMMAND
My neighbour bought a new blue car.Edit black to white,My neighbour bought a new blue car.,Edit black to white,COMMAND
She wore an orange dress.Change color to red,She wore an orange dress.,Change color to red,COMMAND
Black is the mixture of all colours.Alter color to white,Black is the mixture of all colours.,Alter color to white,COMMAND
White is absence of colour.Change color to black,White is absence of colour.,Change color to black,COMMAND
Pink absorbs the most.Modify color to Black,Pink absorbs the most.,Modify color to Black,COMMAND
Mangoes are purple when they are ripe.Alter color to green,Mangoes are purple when they are ripe.,Alter color to green,COMMAND
She has a nephew who is just ten years of age.Convert age to 20.,She has a nephew who is just ten years of age.,Convert age to 20.,COMMAND
The Oldest Monument is over 300 years old.Modify 300 to 700.,The Oldest Monument is over 300 years old.,Modify 300 to 700.,COMMAND
The minimum age to vote is 20.Change age to 18.,The minimum age to vote is 20.,Change age to 18.,COMMAND
My Birthday is next month and I will be 20 years old.Edit years to twenty-one.,My Birthday is next month and I will be 20 years old.,Edit years to twenty-one.,COMMAND
The minimum age requirement is 12 years.Alter age to 10 years,The minimum age requirement is 12 years.,Alter age to 10 years,COMMAND
The median patient age was 63 years.Update age to 59 years,The median patient age was 63 years.,Update age to 59 years,COMMAND
Eight male volunteers aged 21 participated.Swap age to 19,Eight male volunteers aged 21 participated.,Swap age to 19,COMMAND
Premium rate is level until age 67.Correct age to 69,Premium rate is level until age 67.,Correct age to 69,COMMAND
The average student age is 28 years.Exchange age to 29 years.,The average student age is 28 years.,Exchange age to 29 years.,COMMAND
For kids age 4 through 6th grade.Change age to 10,For kids age 4 through 6th grade.,Change age to 10,COMMAND
He lives in Canada.Alter place to India,He lives in Canada.,Alter place to India,COMMAND
BMS college is located at Kundapura.Change place to Bengaluru.,BMS college is located at Kundapura.,Change place to Bengaluru.,COMMAND
Marina beach is at Kolkatta.Edit place to Chennai,Marina beach is at Kolkatta.,Edit place to Chennai,COMMAND
TajMahal is located at Mysore.Change place to Agra,TajMahal is located at Mysore.,Change place to Agra,COMMAND
Hyderabad is capital of Goa.Swap place to Panaji.,Hyderabad is capital of Goa.,Swap place to Panaji.,COMMAND
Goa is famous of monuments.Edit place to Hampi.,Goa is famous of monuments.,Edit place to Hampi.,COMMAND
Chikpet is the nearest Metro Statio.Change place to National college,Chikpet is the nearest Metro Statio.,Change place to National college,COMMAND
Kochi is the garden city of India.Modify place to Bengaluru,Kochi is the garden city of India.,Modify place to Bengaluru,COMMAND
Eden Garden cricket stadium is located 25kms from here.Change place to Chinnaswamy,Eden Garden cricket stadium is located 25kms from here.,Change place to Chinnaswamy,COMMAND
Goa is the capital of India.Change Goa to Delhi,Goa is the capital of India.,Change Goa to Delhi,COMMAND
Mullayanagiri is the biggest trek of Karnataka.Change place to Kumaraparvatha,Mullayanagiri is the biggest trek of Karnataka.,Change place to Kumaraparvatha,COMMAND
Yogaraj Bhat lives in Shivamogga.Change place to Bengaluru,Yogaraj Bhat lives in Shivamogga.,Change place to Bengaluru,COMMAND
We do warm up for 40 minutes.Change duration to 15 minutes,We do warm up for 40 minutes.,Change duration to 15 minutes,COMMAND
He can do plank for 80 seconds.Alter duration to 100 seconds,He can do plank for 80 seconds.,Alter duration to 100 seconds,COMMAND
Each period is for 60 minutes.Update duration to 55 minutes,Each period is for 60 minutes.,Update duration to 55 minutes,COMMAND
Leap year has 366 days.Swap duration to 365 days,Leap year has 366 days.,Swap duration to 365 days,COMMAND
Solar eclipse is for 30 minutes.Change duration to 20 minutes.,Solar eclipse is for 30 minutes.,Change duration to 20 minutes.,COMMAND
Mam takes extra 10 minutes after bell.Change duration to 2 minutes,Mam takes extra 10 minutes after bell.,Change duration to 2 minutes,COMMAND
Students come 10 minutes late to class.Change duration to 15 minutes.,Students come 10 minutes late to class.,Change duration to 15 minutes.,COMMAND
There are 8 days in a week.Edit duration to 7 days,There are 8 days in a week.,Edit duration to 7 days,COMMAND
Chief guest will arrive in 10 minutes.Alter duration to 5 minutes,Chief guest will arrive in 10 minutes.,Alter duration to 5 minutes,COMMAND
It takes 5 seconds for the code to get uploaded.Change duration to 2 seconds,It takes 5 seconds for the code to get uploaded.,Change duration to 2 seconds,COMMAND
She has been a teacher for over 30 years.Change 30 to 35,She has been a teacher for over 30 years.,Change 30 to 35,COMMAND
My grandmother celebrated her ninety-fifth birthday last year.Alter year to ninety-second,My grandmother celebrated her ninety-fifth birthday last year.,Alter year to ninety-second,COMMAND
We've been friends for nearly ten years now.Replace ten with twelve,We've been friends for nearly ten years now.,Replace ten with twelve,COMMAND
She graduated college when she was 20 years old.Update age to 25,She graduated college when she was 20 years old.,Update age to 25,COMMAND
My grandmother is 90 years old and still going strong!Swap 90 with 95,My grandmother is 90 years old and still going strong!,Swap 90 with 95,COMMAND
I was twelve years old when I first visited Italy.Correct twelve to ten,I was twelve years old when I first visited Italy.,Correct twelve to ten,COMMAND
"By the time I reach my 30th birthday, I will be 10 years older than I am now.Amend 30 to 32","By the time I reach my 30th birthday, I will be 10 years older than I am now.",Amend 30 to 32,COMMAND
He was only two years old when his parents divorced.Update age to 4,He was only two years old when his parents divorced.,Update age to 4,COMMAND
My daughter is eight years old and loves to play the violin.Change age to ten years old,My daughter is eight years old and loves to play the violin.,Change age to ten years old,COMMAND
My sister is sixty-five years old and still plays golf on the weekends.Replace 65 with 70,My sister is sixty-five years old and still plays golf on the weekends.,Replace 65 with 70,COMMAND
London is one of the most iconic cities in the world.Convert London to New York,London is one of the most iconic cities in the world.,Convert London to New York,COMMAND
The Lebanon Eye is one of the city's most recognizable attractions.Change city to London,The Lebanon Eye is one of the city's most recognizable attractions.,Change city to London,COMMAND
 Big Ben is a Paris landmark known for its impressive clock tower.Replace Paris with London, Big Ben is a Paris landmark known for its impressive clock tower.,Replace Paris with London,COMMAND
The Houses of Parliament are among the most important buildings in Bangalore.Edit city to London,The Houses of Parliament are among the most important buildings in Bangalore.,Edit city to London,COMMAND
Kyoto is the bustling capital of Japan.Modify the city to Japan,Kyoto is the bustling capital of Japan.,Modify the city to Japan,COMMAND
Many people visit Beijing’'s many amazing attractions every year.Amend Beijing to Tokyo,Many people visit Beijing’'s many amazing attractions every year.,Amend Beijing to Tokyo,COMMAND
Perth is well known for its amazing sushi restaurants.Edit Perth to Tokyo,Perth is well known for its amazing sushi restaurants.,Edit Perth to Tokyo,COMMAND
The bustling streets of Seoul can be quite overwhelming to first-time visitors.Convert Seoul to Tokyo,The bustling streets of Seoul can be quite overwhelming to first-time visitors.,Convert Seoul to Tokyo,COMMAND
The tech industry in Mumbai has exploded in recent years and is becoming one of India’s leading cities.Modify the city to bangalore,The tech industry in Mumbai has exploded in recent years and is becoming one of India’s leading cities.,Modify the city to bangalore,COMMAND
 My brother recently moved to Chennai to take a job in the IT sector.Exchange Chennai with Bangalore, My brother recently moved to Chennai to take a job in the IT sector.,Exchange Chennai with Bangalore,COMMAND
The walls in the nursery were painted a soft pink.Modify colour to blue,The walls in the nursery were painted a soft pink.,Modify colour to blue,COMMAND
She wore a pink blouse with a pair of black jeans.Update pink to black,She wore a pink blouse with a pair of black jeans.,Update pink to black,COMMAND
 The sunset over the sea was a beautiful mix of orange and yellow.Exchange yellow with pink, The sunset over the sea was a beautiful mix of orange and yellow.,Exchange yellow with pink,COMMAND
There were pink rose petals scattered on the path.Edit the colour to red,There were pink rose petals scattered on the path.,Edit the colour to red,COMMAND
The leaves on the tree were a vibrant mix of green and purple.Alter purple to orange,The leaves on the tree were a vibrant mix of green and purple.,Alter purple to orange,COMMAND
 She finished the mural with a contrasting streak of green and purple.Exchange purple with red, She finished the mural with a contrasting streak of green and purple.,Exchange purple with red,COMMAND
"She pulled out two pieces of yarn, one green and one purple, to start working on her latest scarf project.Substitute green with yellow","She pulled out two pieces of yarn, one green and one purple, to start working on her latest scarf project.",Substitute green with yellow,COMMAND
The bright red colour of the car made it stand out from the rest.Update colour to orange,The bright red colour of the car made it stand out from the rest.,Update colour to orange,COMMAND
" His favourite colour was a light blue, like the night sky.Edit the colour to a dark blue colour"," His favourite colour was a light blue, like the night sky.",Edit the colour to a dark blue colour,COMMAND
The UK is the largest democracy in the world.Alter the UK to India,The UK is the largest democracy in the world.,Alter the UK to India,COMMAND
"China has two main religions, Hinduism and Islam.Update the country to India","China has two main religions, Hinduism and Islam.",Update the country to India,COMMAND
 The Taj Mahal is a beautiful monument located in Japan.Modify Japan to India, The Taj Mahal is a beautiful monument located in Japan.,Modify Japan to India,COMMAND
 Britain won independence from Britain in 1947.Change the first occurrence of Britain to India, Britain won independence from Britain in 1947.,Change the first occurrence of Britain to India,COMMAND
The Russian War was an extremely costly conflict that ended in 1975.Amend Russia to Vietnam,The Russian War was an extremely costly conflict that ended in 1975.,Amend Russia to Vietnam,COMMAND
"In 1954, the French were defeated at the Battle of Dien Bien Phu in France.Change the country to Vietnam","In 1954, the French were defeated at the Battle of Dien Bien Phu in France.",Change the country to Vietnam,COMMAND
Vietnam has become a popular tourist destination in recent years.Modify country to Thailand,Vietnam has become a popular tourist destination in recent years.,Modify country to Thailand,COMMAND
"The capital of India is Washington, D.C.Edit the country from India to United States","The capital of India is Washington, D.C.",Edit the country from India to United States,COMMAND
South Korea remains largely isolated from the rest of the world.Replace the country with North Korea,South Korea remains largely isolated from the rest of the world.,Replace the country with North Korea,COMMAND
The United States eventually withdrew its troops from China in 1972.Alter China to Vietnam,The United States eventually withdrew its troops from China in 1972.,Alter China to Vietnam,COMMAND
The date on the invitation was June 25th.Alter the date to 27th May,The date on the invitation was June 25th.,Alter the date to 27th May,COMMAND
They were set to have their first date this Friday.His birthday is in August.Edit August to October,They were set to have their first date this Friday.His birthday is in August.,Edit August to October,COMMAND
September is the eighth month of the year.Change September to August,September is the eighth month of the year.,Change September to August,COMMAND
"On 9th November 1989, the Berlin Wall fell.Change the date to 19th November","On 9th November 1989, the Berlin Wall fell.",Change the date to 19th November,COMMAND
The Battle of Jutland was fought on 9th November 1916.Swap 9th November 1916 to 10th December 1920,The Battle of Jutland was fought on 9th November 1916.,Swap 9th November 1916 to 10th December 1920,COMMAND
My birthday is 9th November.Edit the date to 13th February,My birthday is 9th November.,Edit the date to 13th February,COMMAND
6th January 2011 is the date of the next national election.Substitute 6th January with 18th January,6th January 2011 is the date of the next national election.,Substitute 6th January with 18th January,COMMAND
The 22th January is a holiday in many parts of India.Change 22 to 26,The 22th January is a holiday in many parts of India.,Change 22 to 26,COMMAND
The President of India hoists the national flag on the occasion of 26th February every year.Update month to January,The President of India hoists the national flag on the occasion of 26th February every year.,Update month to January,COMMAND
February 11th is the first day of the year for me.Modify February 11th to January 11th,February 11th is the first day of the year for me.,Modify February 11th to January 11th,COMMAND
We have a meeting scheduled for 9:00 A.M.Modify time to 10 AM,We have a meeting scheduled for 9:00 A.M.,Modify time to 10 AM,COMMAND
"In the morning, I usually wake up around 7:00 A.M.Update 7 AM to 9 AM","In the morning, I usually wake up around 7:00 A.M.",Update 7 AM to 9 AM,COMMAND
She likes to go jogging before sunrise at 5:00 A.M.Edit 5 to 6,She likes to go jogging before sunrise at 5:00 A.M.,Edit 5 to 6,COMMAND
The ceremony will start at 11:00 A.M. sharp.Swap 11 AM with 10 AM,The ceremony will start at 11:00 A.M. sharp.,Swap 11 AM with 10 AM,COMMAND
The deadline is 8:00 AM tomorrow morning.Convert 8 to 9,The deadline is 8:00 AM tomorrow morning.,Convert 8 to 9,COMMAND
 We are meeting at the park at 10:00 AM.Alter the time to 11, We are meeting at the park at 10:00 AM.,Alter the time to 11,COMMAND
Please join me for a meeting at 3 P.M.Correct PM to AM,Please join me for a meeting at 3 P.M.,Correct PM to AM,COMMAND
The store closes at 9 P.M.Amend 9 PM to 10 PM,The store closes at 9 P.M.,Amend 9 PM to 10 PM,COMMAND
I will be home by 6 P.M.Modify 6 to 8,I will be home by 6 P.M.,Modify 6 to 8,COMMAND
 Let's finish this task by 4 P.MAlter 4 to 3, Let's finish this task by 4 P.M,Alter 4 to 3,COMMAND
 I need to save up 5 thousand dollars for the vacation.Update 5 thousand to 3 thousand, I need to save up 5 thousand dollars for the vacation.,Update 5 thousand to 3 thousand,COMMAND
The cost of the new car was 15 thousand dollars.Modify cost to 20 thousand,The cost of the new car was 15 thousand dollars.,Modify cost to 20 thousand,COMMAND
He has earned over 20 million dollars in the stock market.Edit 20 to 15,He has earned over 20 million dollars in the stock market.,Edit 20 to 15,COMMAND
 She donated 500 dollars to the charity organization.Replace 500 with 1000, She donated 500 dollars to the charity organization.,Replace 500 with 1000,COMMAND
I will pay you 100 bucks for the painting.Change the cost to 200,I will pay you 100 bucks for the painting.,Change the cost to 200,COMMAND
" Please help me out, and I'll give you 100 bucks.Replace 100 bucks with 200 bucks"," Please help me out, and I'll give you 100 bucks.",Replace 100 bucks with 200 bucks,COMMAND
 Sally just won 100 bucks playing the slots!Substitute 100 with 50, Sally just won 100 bucks playing the slots!,Substitute 100 with 50,COMMAND
 My mom bet me 100 bucks that I wouldn't finish my term paper on time.Alter the cost to 150, My mom bet me 100 bucks that I wouldn't finish my term paper on time.,Alter the cost to 150,COMMAND
 I found a one rupee coin while I was out walking.Replace 1 rupee with 5, I found a one rupee coin while I was out walking.,Replace 1 rupee with 5,COMMAND
" The cost of the fabric is 4,500 rupees per meter.Amend 4,500 to 5,000"," The cost of the fabric is 4,500 rupees per meter.","Amend 4,500 to 5,000",COMMAND
Ninety two states make up the United States.Correct ninety-two to fifty-two,Ninety two states make up the United States.,Correct ninety-two to fifty-two,COMMAND
 The temperature outside was fifty two degrees Fahrenheit.Change fifty two to forty seven, The temperature outside was fifty two degrees Fahrenheit.,Change fifty two to forty seven,COMMAND
 I read fifty pages of my book yesterday.Update 50 to 40, I read fifty pages of my book yesterday.,Update 50 to 40,COMMAND
 There were fifty two people in the room at the party.Alter 52 to 57, There were fifty two people in the room at the party.,Alter 52 to 57,COMMAND
She was 16 years old when she started college.Modify 16 to 18,She was 16 years old when she started college.,Modify 16 to 18,COMMAND
 The temperature dropped to 16 degrees Fahrenheit last night.Switch 16 with 18, The temperature dropped to 16 degrees Fahrenheit last night.,Switch 16 with 18,COMMAND
 We needed 16 eggs for the recipe.Substitute 16 with 14, We needed 16 eggs for the recipe.,Substitute 16 with 14,COMMAND
His body measurements were 16 inches around the waist and 28 inches around the hips.Edit 28 to 30,His body measurements were 16 inches around the waist and 28 inches around the hips.,Edit 28 to 30,COMMAND
" After measuring the area of the room, it came out to be 34.8 square metres.Alter 34.8 to 40"," After measuring the area of the room, it came out to be 34.8 square metres.",Alter 34.8 to 40,COMMAND
She scored 34.8 out of 50 in the English literature exam.Change 34.8 to 45,She scored 34.8 out of 50 in the English literature exam.,Change 34.8 to 45,COMMAND
Ananya's enthusiasm and energy were on full display during her presentation.Alter Ananya to Arya,Ananya's enthusiasm and energy were on full display during her presentation.,Alter Ananya to Arya,COMMAND
 Ananya is always the first one to volunteer for any project.Modify name to Niharika, Ananya is always the first one to volunteer for any project.,Modify name to Niharika,COMMAND
Ananya's singing is adored by all in the neighborhood.Edit Ananya to Tara,Ananya's singing is adored by all in the neighborhood.,Edit Ananya to Tara,COMMAND
"Ananya's creativity knows no bounds, and she always comes up with unique ideas.Swap Ananya with Amritha","Ananya's creativity knows no bounds, and she always comes up with unique ideas.",Swap Ananya with Amritha,COMMAND
 Neha is an experienced kitchen designer with a passion for color.Replace Neha with Asma, Neha is an experienced kitchen designer with a passion for color.,Replace Neha with Asma,COMMAND
Neha's enthusiasm for her work has been contagious to all her colleagues.Substitute Neha for Ankita,Neha's enthusiasm for her work has been contagious to all her colleagues.,Substitute Neha for Ankita,COMMAND
Neha is always eager to learn new techniques and explore new trends in the industry.Change the name to Sakshi,Neha is always eager to learn new techniques and explore new trends in the industry.,Change the name to Sakshi,COMMAND
" Neha's success is a testament of her dedication, hard work and creativity.Update name to Neelima"," Neha's success is a testament of her dedication, hard work and creativity.",Update name to Neelima,COMMAND
"After accusing Vijay of being irresponsible, the principal had a private discussion with him.Modify Vijay to Veer","After accusing Vijay of being irresponsible, the principal had a private discussion with him.",Modify Vijay to Veer,COMMAND
 Vijay was determined to prove his worth and improve his grades to succeed in college.Replace the name with Ronak, Vijay was determined to prove his worth and improve his grades to succeed in college.,Replace the name with Ronak,COMMAND
Please text me your details at 9741661360.Change Number to +919653636490,Please text me your details at 9741661360.,Change Number to +919653636490,COMMAND
 The customer service number is 9741661360.Change Number to +919653636490, The customer service number is 9741661360.,Change Number to +919653636490,COMMAND
Please call us at 9741661360 for any questions you may have.Change Number to +919653636490,Please call us at 9741661360 for any questions you may have.,Change Number to +919653636490,COMMAND
 Please send an SMS to 9741661360 to book your appointment.Change Number to +919653636490, Please send an SMS to 9741661360 to book your appointment.,Change Number to +919653636490,COMMAND
The number for the pizza place you asked is +919913719128.Change Number to +918382834223,The number for the pizza place you asked is +919913719128.,Change Number to +918382834223,COMMAND
The sun was setting behind the mountains. I need to alter my schedule for next week.,,,NON COMMAND
"She walked down the street, lost in thought. She wants to edit her essay one more time before submitting it.",,,NON COMMAND
He couldn't believe what he was hearing. Let's swap seats so that you can see the presentation better.,,,NON COMMAND
The aroma of fresh coffee filled the room. I have to replace the batteries in my remote control.,,,NON COMMAND
The birds sang a beautiful melody in the morning. They want to convert the attic into a playroom.,,,NON COMMAND
She danced gracefully across the stage. I need to revise my presentation for the meeting tomorrow.,,,NON COMMAND
"The dog barked at the mailman, but didn't bite him. He wants to amend the contract to include a new clause.",,,NON COMMAND
He felt a sense of relief wash over him. Let's exchange phone numbers so we can stay in touch.,,,NON COMMAND
"The book was so captivating, she couldn't put it down. I had to substitute butter for margarine in the recipe.",,,NON COMMAND
The rain pattered gently against the windowpane. I need to rewrite this paragraph to make it more clear.,,,NON COMMAND
"The children ran through the park, laughing and playing. She wants to update her wardrobe for the new season.",,,NON COMMAND
"The old man sat quietly on the bench, watching the world go by. I need to modify my workout routine to target different muscle groups.",,,NON COMMAND
The flowers in the garden were in full bloom. He wants to edit his resume before sending it out to employers.,,,NON COMMAND
